fare,dest,datescraped,timescraped,origtime,date,desttime,orig
$20.00 ,"New York  W 33rd St & 11-12th Ave (DC,BAL,BOS,PHL)",7/14/2014,59:41.7,7:00 AM,7/28/2014,10:30 AM,Baltimore-1578 Maryland Ave. (near Marc-Penn Sta)
$20.00 ,"New York  W 33rd St & 11-12th Ave (DC,BAL,BOS,PHL)",7/14/2014,59:41.8,8:00 AM,7/28/2014,11:30 AM,Baltimore-1578 Maryland Ave. (near Marc-Penn Sta)
$20.00 ,"New York  W 33rd St & 11-12th Ave (DC,BAL,BOS,PHL)",7/14/2014,59:41.9,10:45 AM,7/28/2014,2:15 PM,Baltimore-1578 Maryland Ave. (near Marc-Penn Sta)
$17.00 ,"New York  W 33rd St & 11-12th Ave (DC,BAL,BOS,PHL)",7/14/2014,59:42.0,12:45 PM,7/28/2014,4:15 PM,Baltimore-1578 Maryland Ave. (near Marc-Penn Sta)
$17.00 ,"New York  W 33rd St & 11-12th Ave (DC,BAL,BOS,PHL)",7/14/2014,59:42.1,1:45 PM,7/28/2014,5:15 PM,Baltimore-1578 Maryland Ave. (near Marc-Penn Sta)
$15.00 ,"New York  W 33rd St & 11-12th Ave (DC,BAL,BOS,PHL)",7/14/2014,59:42.2,4:30 PM,7/28/2014,8:00 PM,Baltimore-1578 Maryland Ave. (near Marc-Penn Sta)
$15.00 ,"New York  W 33rd St & 11-12th Ave (DC,BAL,BOS,PHL)",7/14/2014,59:42.3,6:15 PM,7/28/2014,9:45 PM,Baltimore-1578 Maryland Ave. (near Marc-Penn Sta)
$15.00 ,"New York  W 33rd St & 11-12th Ave (DC,BAL,BOS,PHL)",7/14/2014,59:42.4,7:45 PM,7/28/2014,11:30 PM,Baltimore-1578 Maryland Ave. (near Marc-Penn Sta)
$15.00 ,"Newark, NJ (Newark Penn Station)",7/14/2014,59:56.0,8:45 AM,7/28/2014,12:00 PM,Baltimore-1578 Maryland Ave. (near Marc-Penn Sta)
$17.00 ,"Newark, NJ (Newark Penn Station)",7/14/2014,59:56.1,12:45 PM,7/28/2014,4:00 PM,Baltimore-1578 Maryland Ave. (near Marc-Penn Sta)
